/home/ubuntu/miniconda3/envs/prefix/lib/python3.7/site-packages/torchvision/transforms/transforms.py:886: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  warnings.warn("The use of the transforms.RandomSizedCrop transform is deprecated, " +
/home/ubuntu/miniconda3/envs/prefix/lib/python3.7/site-packages/torchvision/transforms/transforms.py:285: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  warnings.warn("The use of the transforms.Scale transform is deprecated, " +
Epoch 38 | Batch 70/100 | Loss 1.311377
Epoch 38 | Batch 80/100 | Loss 1.312869
Epoch 38 | Batch 90/100 | Loss 1.321611
100 Test Acc = 54.98% +- 1.90%
Epoch 39 | Batch 0/100 | Loss 1.241778
Epoch 39 | Batch 10/100 | Loss 1.395844
Epoch 39 | Batch 20/100 | Loss 1.353907
Epoch 39 | Batch 30/100 | Loss 1.318731
Epoch 39 | Batch 40/100 | Loss 1.325763
Epoch 39 | Batch 50/100 | Loss 1.311611
Epoch 39 | Batch 60/100 | Loss 1.310733
Epoch 39 | Batch 70/100 | Loss 1.309558
Epoch 39 | Batch 80/100 | Loss 1.305048
Epoch 39 | Batch 90/100 | Loss 1.311142
100 Test Acc = 53.58% +- 1.97%
Epoch 40 | Batch 0/100 | Loss 1.469512
Epoch 40 | Batch 10/100 | Loss 1.378739
Epoch 40 | Batch 20/100 | Loss 1.350486
Epoch 40 | Batch 30/100 | Loss 1.360173
Epoch 40 | Batch 40/100 | Loss 1.338531
Epoch 40 | Batch 50/100 | Loss 1.328109
Epoch 40 | Batch 60/100 | Loss 1.327772
Epoch 40 | Batch 70/100 | Loss 1.325945
Epoch 40 | Batch 80/100 | Loss 1.323513
Epoch 40 | Batch 90/100 | Loss 1.327160
100 Test Acc = 53.90% +- 2.06%
Epoch 41 | Batch 0/100 | Loss 1.193125
Epoch 41 | Batch 10/100 | Loss 1.314096
Epoch 41 | Batch 20/100 | Loss 1.335213
Epoch 41 | Batch 30/100 | Loss 1.345446
Epoch 41 | Batch 40/100 | Loss 1.344928
Epoch 41 | Batch 50/100 | Loss 1.343449
Epoch 41 | Batch 60/100 | Loss 1.333937
Epoch 41 | Batch 70/100 | Loss 1.339850
Epoch 41 | Batch 80/100 | Loss 1.344304
Epoch 41 | Batch 90/100 | Loss 1.336764
100 Test Acc = 53.70% +- 2.00%
Epoch 42 | Batch 0/100 | Loss 1.571803
Epoch 42 | Batch 10/100 | Loss 1.299016
Epoch 42 | Batch 20/100 | Loss 1.319727
Epoch 42 | Batch 30/100 | Loss 1.333742
Epoch 42 | Batch 40/100 | Loss 1.324511
Epoch 42 | Batch 50/100 | Loss 1.310624
Epoch 42 | Batch 60/100 | Loss 1.306506
Epoch 42 | Batch 70/100 | Loss 1.301527
Epoch 42 | Batch 80/100 | Loss 1.306078
Epoch 42 | Batch 90/100 | Loss 1.314910
100 Test Acc = 57.36% +- 1.68%
best model! save...
Epoch 43 | Batch 0/100 | Loss 1.334918
Epoch 43 | Batch 10/100 | Loss 1.280441
Epoch 43 | Batch 20/100 | Loss 1.273321
Epoch 43 | Batch 30/100 | Loss 1.304966
Epoch 43 | Batch 40/100 | Loss 1.317697
Epoch 43 | Batch 50/100 | Loss 1.315140
Epoch 43 | Batch 60/100 | Loss 1.317444
Epoch 43 | Batch 70/100 | Loss 1.310198
Epoch 43 | Batch 80/100 | Loss 1.311016
Epoch 43 | Batch 90/100 | Loss 1.303116
100 Test Acc = 54.62% +- 1.78%
Epoch 44 | Batch 0/100 | Loss 1.169868
Epoch 44 | Batch 10/100 | Loss 1.348718
Epoch 44 | Batch 20/100 | Loss 1.322900
